label,text
vi,Không có quá nhiều người đàn ông đi vòng quanh tubacca để kiếm tiền tốt .
vi,Jon ngồi cạnh cô ấy và làm tóc cô ấy xù tóc .
vi,"Vì một sự thay đổi , anh ta đã có một phần may mắn ."
vi,Các yêu cầu của phần 609 là inapplicable cho quy tắc này kể từ khi nhtsa không xác định rằng nó sẽ có một tác động lớn lao vào một số thực thể nhỏ hơn .
vi,"Một người mà anh tin tưởng rằng có quá nhiều nghệ sĩ RIP-Off ở thị trấn này , nó là nó thực sự là một tội lỗi mà nó thực sự là một tội lỗi ."
vi,Tôi đã nghỉ học một học kỳ và tôi đã học một lớp học ít nhất một lớp học mỗi học kỳ
ar,"انا اقول و اجعل الامر واضحا : اذا قمت بعمل ثابت من تبادل اللكمات مع شرطي او مع اي شخص اخر لانك تاخذ كراهية الى وجهه , الطريقة التي تلتصق بها اذنيه , كيف يمشي او يتكلم , او ما هو اللون المعطف الذي كان يرتديه في الحرب , ثم يمكنك ان رول سريرك و جولة كلما كان افضل كلما كان افضل ."
ar,والقوانين الحكومية والمحلية بقدر ما تكون هذه الدولة والقوانين المحلية غير متسقة مع القواعد تفي بهذه المعايير .
ar,اذا كان يجب ان يكون هناك واحد يستمع
ar,حسنا انا حقا استمتع بقراءة الصحيفة التي نحصل على اخبار الصباح و دالاس و احاول ان انظر اليها اذا انشغلت انا لا احصل على فرصة لالتقاطها مثل هذا الاسبوع لاحظت ان العديد من النسخ لم تلمسها تاثرت بس اه
ar,"الان يمكنك الزواج من فتاة غنية . "" """
ar,9000-وقد ضمنت المعايير الدولية بعض الشركات الكبيرة / هاء شهادة الايزو 9000 بوصفها نشاطا للرقابة في منظمة الجودة ( iso ) 9000
ar,"( لينكولن ) حدق في عيون ( ناتاليا ) , وقال اخيرا :"
ar,نعم انت ايضا مع السلامة مع السلامة
nl,Het meisje rijdt op het paard.
nl,Een vrouw schilt een appel.
nl,Een man speelt twee piano's.
nl,Een jockey die op een paard rijdt.
nl,"Toen de politie de vier uit het huis haalde, wogen ze samen 136 pond."
nl,Assad zegt dat huurlingen achter de Syrische onrust zitten...
nl,"De herontworpen Finder beschikt ook over een zoekfunctie, gekleurde labels voor aangepaste organisatie van documenten en projecten en dynamisch bladeren in het netwerk voor Mac-, Windows- en UNIX-bestandsservers."
nl,"na de eerste ontmoeting tussen de leiders van de europese unie en leiders uit albanië, bosnië en herzegowina, kroatië, macedonië en servië en montenegro beloven de leiders van de westelijke balkanlanden de georganiseerde misdaad en de corruptie in de balkans te verminderen om te voldoen aan de eisen van het lidmaatschap van de europese unie."
bg,"по-бързо , котенца !"
bg,фатален пътен инцидент в ивицата газа през декември 1987 г. бе последван от палестинската интифада ( въстание ) срещу израелските войски в окупираните територии .
bg,възкреси всички президенти .
bg,"какво те накара да мислиш , че е престанал да се интересува от случая ? попита томи любопитно ."
bg,така че първата квалификация е да знаеш какво по дяволите е на жокей .
bg,"да , това е съвсем различна култура. там е странно , защото там е много странно ."
bg,"( разликата между процентите , разделени на броя на грамове в интервала на тегло ) ."
bg,"версия на седан , паланкина или е била напълно затворена , така че обещана булка да е била невидима , докато е била вътре , или е построена с дупка , която да й позволи да види и да бъде видяна , когато е била омъжена ."
pl,Czarno-biały pies biegnie przez pole krów.
pl,Sprzedaż chipów AMD wzrosła o 7 procent rok do roku do 402 milionów dolarów.
pl,Starcia jako Grecy protestują przeciwko kolejnym cięciom
pl,Mężczyzna gra na gitarze.
pl,"Senat potwierdza, że Yellen jest szefem federacji"
pl,Kobieta wystrzeliwuje strzelbę.
pl,"Spready rentowności amerykańskich obligacji korporacyjnych zostały zacieśnione w transakcjach spotty w piątek, gdy Wall Street pracowała, by stanąć na nogi po największej w historii Ameryki Północnej przerwie w dostawie prądu."
pl,Avengers ustanawia rekord kasowy
es,"El manillar por dentro venía defectuoso. La rosca interna estaba lisa y no sujetaba el tubo de la rueda delantera, por lo que no se podía dirigir."
es,No vale para nada se despega todo el rato
es,Estaba totalmente roto y el embalaje en perfectas condiciones
es,"Pedí esta alfombrilla porque quería una alfombrilla grande y de calidad para mi escritorio y ha cumplido todas mis expectativas. En primer lugar la alfombrilla la recibí el día siguiente de pedirlo, lo que significa que envían desde España y esto es algo que valoro mucho. Nada mas recibirlo me dí cuenta que la alfombrilla es bien grande como yo quería y con un buen empaquetado. La alfombrilla va en una bolsa de calidad que se desata con un cordón. Al sacarlo lo primero que ves es la calidad del acabado de los laterales, Las alfombrillas baratas no tienen este acabado en los bordes y por ahí se deshilachan etc pero esta tiene un acabado muy cuidado para durar. Después, al sacarlo del envase, se puede apreciar la calidad de los colores y el diseño de la alfombrilla. Elegí este diseño porque me encanta todo lo relacionado con el espacio y no defrauda. En las fotos se puede ver que el tamaño es correcto, es más la alfombrilla es un poco mas grande que mi escritorio así que estoy encantado. En definitiva una alfombrilla de calidad por un precio muy bueno. La recomiendo :)"
es,"Es el mismo que nos encargaron en el cole, el precio esta mejor que en tiendas físicas, volveré a comprar el año que viene."
es,"La radio no vale nada y el manos libres regular,por lo demás bien."
es,"El envío ha llegado perfecto y muy rápido. Tengo que decir que el lápiz blando se rompe la mina de carboncillo con mucha facilidad, por de demás todo bien. Para un principiante es más que suficiente. No hace falta invertir más dinero."
es,"Lo recibí ayer. Viene el menú del teléfono en inglés, un gran problema. Es para una señora mayor. Creo k no hay forma de cambiar el idioma. Por lo demás no se todavía como funciona. No he podido configurar por el idioma."
pt,"49 mortos, 148 feridos em ataques violentos no Iraque"
pt,BlackBerry perde 965 milhões de dólares no segundo trimestre
pt,"""Houve uma série de sinais burocráticos e administrativos em falta - não há aqui uma única pessoa responsável"", disse Gehman."
pt,'Million Muppet Marcha dos Marretas' para defender o apoio de Obama à PBS
pt,A rapariga está a jogar juntamente com as imagens no grande ecrã.
pt,A ovelha branca está de pé sobre a colina verde.
pt,Sala com vários monitores de computador.
pt,Muitas pessoas correm numa corrida numa rua.
zh,特意为了三角螺丝刀买的，结果打滑拧不动，送过来是第三方快递，退货也要自己快递寄回去，虽然会返邮费。 记住：供应商直送的不是亚马逊自营，虽然写着由亚马逊直接销售和发货！
zh,买来感觉不错，用段时间就跑到一起去了，很多地方都空了！
zh,买小了，中号的华为MATE7装不下，已申请退货，上门取货的速度很快，但是重新又购买了一个大号的之后迟迟不肯发货，不知道是不是因为退货没有处理完的原因，但是我两个都付款了呀，为什么就不能发货呢
zh,可能是我用过粉色包装的后，不喜欢这种味道，小失望
zh,保温效果一般，盖子还容易松，最主要的是便宜，性价比高，过渡的东西，冬天买来装辅食，给孩子喂饭用的
zh,帮人代购 不评价。需要者可以购买，个人觉得实用性不强。
zh,把2和3一起看的，3相对来说从医疗理念医患关系上讲的更多一些
zh,没有极品霏系列那么好看 内容太挤了 不够生动 但也可以
hi,"लेकिन 1997 से 1996 . में संदेह करने का एक और कारण है , आईबीएम / mci प ् रोग ् राम ने 1988 से 1996.-500 पादसूचना दर ् ज की ."
hi,"कल की शक ् तिशाली टांगों ने ' दान ' के दृश ् य के सामने कदम रखा और देख रहा था , उसने कल एक तलवार झूला और अपने क ् लब को आदमी के पक ् ष में तोड ़ दिया ."
hi,"गौ और कांग ् रेस के नियंत ् रक-महालेखापरीक ् षक के बावजूद , कांग ् रेस ने इस समीक ् षा को फिर से करने के लिए gaoas मूल प ् राधिकार से प ् रश ् न किया ."
hi,"हमें प ् रकृति की ताकतों का डर नहीं है जितना हमारी प ् रजाति के रूप में था , क ् योंकि हम उन बलों को बेहतर समझते हैं ."
hi,"आगे जा रहा है , प ् रतिभागियों को विश ् वास है कि वित ् तीय रिपोर ् टिंग मॉडल में परिवर ् तन करने के लिए प ् रोत ् साहन , निवेशकों और अन ् य उपयोगकर ् ताओं की वित ् तीय जानकारी के बारे में अधिक जानकारी देने के लिए आवश ् यक है , जो सार ् वजनिक रूप से ट ् रेडिंग कंपनियों के बारे में मूल ् य और जोखिम के निर ् णय बनाने के लिए आवश ् यक है ."
hi,वार ् ता अप ् रैल 13 . को फिर से शुरू करेगी
hi,उम-हम सही हाँ इसलिए मुझे लगता है कि अगर आप जानते हैं कि मुझे बहुत बड ़ े संगठनों का अनुमान है शायद वे टेलीविजन पर विज ् ञापन देते हैं कि वे कितने सफल हैं
hi,"यह एक पुनर ् जागरण मानवतावादी था जिसने अपने साथी पुरुषों को बेवकूफ और deranged , भोजन के लिए , भोजन के लिए बोरे और फिलर ् स-अप के लिए बोरे , और मानवता के विनाश को एक सार ् वभौमिक तूफान में देखा ."
sw,"Hatimaye mwaka jana tu , nyumba ya mwisho ya mwisho alikuwa na nyumba ya nyumbani alikuwa nayo kwa hiyo eneo sasa imejaa lakini tuko katika jamii ya watu elfu tano"
sw,"Naam , nina imani yangu katika akhera na naamini kuwa , mungu will ."
sw,Naam i ' m in dusmon california sasa hivi
sw,I hapo mimi mwenyewe
sw,Msingi wa sayansi ya taifa .
sw,No i ' ve not gone camping in years but ni kitu nimefanya hapo nyuma how about you
sw,"Jon akasimama , alichora bastola yake , akaweka chini ya chin ya mwanaume , na kazi kazi ."
sw,"Pengine , hata hivyo , una agizo la kukamatwa kwake kwa mfuko wako sasa , zilizopendekezwa poirot ."
ru,"Нападения могут серьезно подорвать операции , связанные с использованием компьютеров , подорвать конфиденциальность чувствительной информации и снизить целостность критических данных ."
ru,"Естественная рождаемость была усилена самыми передовыми системами ирригации Европы , которые все еще действуют в в каналах , которые вы увидите на пути к югу от павии ."
ru,"Например , письменное разрешение на то , что компьютерная система является надежной и разрешена для работы в определенных условиях ."
ru,"Верфи , стретчинг на мили , самые впечатляющие с вершины в арки моста Винсента Томаса ."
ru,"Напротив Центра и набор в в сахарный завод - центр дизайна башня , который включает в себя магазины , мастерские и ресторан первого этажа ."
ru,"После долгого поиска , исследователи из университета в ghab-Akbad предложили новую шайбу ."
ru,"Итак , привет , Мэри ."
ru,Толстяк уставился на меня .
tr,"Bu , bu gibi davranışlar , iş arkadaşlarının , kadın ofis çalışanlarını çay servisi yapmaya veya işyerini temizlemek için zorla seks yapmaya aralıkları aralıkları ."
tr,"' ya da ... Abraham Ya da ... Her neyse ... Gerçekten beni öldürecek misin yoksa tutuklayacak mısın ? Çünkü değilse , bu konuşma benim zevkim için biraz varoluşçu olmaya başladı . ' '"
tr,"Bilgi teknolojisi , işletmelerin dalgalı para birimleri ile ilişkili riskler ile başa için kolaylaştırır ."
tr,"Kasabalarda , o dönemdeki kiliseler ve diğer odak noktaları , gözcü gönderileri ve erken uyarı sistemleri sağlamak için yüksek bir sitede inşa edilmiştir ."
tr,"Etrafındaki havayı emdi , nefes de ciğerlerinde yandı ."
tr,"Solondz ' s writing does n ' t cut very deep , but it does swing wide , smashing taboos on all sides -- the film is the dark side of there ' s something about mary. ve bazı açılardan , daha uygun bir fırlatma olamaz ."
tr,"Coğrafya ( tercih olmazsa ) daha basit , ülkeyi sadece beş Paris ' e ve çevresinde ( Fransızca olarak bilinir ) , kuzeydoğu ( Picardie , şampanya-Ardennes , lorraine , alsace , bordo ve jura ) olarak . ; Kuzeybatı ( Normandiya , brittany , ve loire vadisi ) ; Güneydoğu ( savoie , rhone vadisi , provence , cete d ' azur , ve korsika ) ; ve güney ? Batı ( Dut-Limousin , p ? ? Rigord , Atlantik sahili , pyr ? ? ? N ? ? Es , ve languedoc-Roussillon ) ."
tr,"Bu kadar çok başka haber kaynağı olduğu için ( internet , kablolu tv ) gazeteler daha çok dergi tarzı hikayeler yapıyor olabilir mi ?"
ja,ハンドガンのレールに付けた場合、右手グリップ時にサポートハンドの親指ではoffしかできず、右手のトリガーフィンガーでonとなるので夜戦時に普段off状態で移動して動くものを見つけてサポートハンドでスイッチon→即時発砲の流れが難しい。スイッチ方向が逆なら使いやすかったと思う。残念（左利きで普段左手で保持するなら逆に好都合です）。
ja,…… クリスマスプレゼントにと思い購入しました。 品物はきっといい物だと信じていますが… ダンボールに直接品物の絵が描かれた物が届きました。 結果、プレゼントする相手に悟られてしまったようです。。 この時期に、このダンボールで、正直腹わたが煮えくりかえりそうな気分ですが、100%とはいかなくとも、いいクリスマスになればと努力したいと思います。 これから購入される方で、もし同じシチュエーションの方がいらっしゃれば、気をつけて購入することをおすすめします。 ダンボールで中身が丸分かりです。 非常に悔しいです。
ja,クッションが柔らかく型くずれしてしまいました。2枚入りで運転席に使用していた物は、1シーズンで壊れてしまいました。
ja,サイズが小さかった。 表示寸法は製品の展開サイズ、 実際は内側にある円形のピアノ線［外寸より10cmくらい小さい）が窓枠を押さえてセットする形であるため、寸足らずになる。 表示寸法は、適合するウインドウサイズにするべき！
ja,商品届きました、とても素敵な形です、おばあちゃんが喜びますよ、 早く渡したいです。
ja,普通はMサイズを着用しているが、レビューを参考にLサイズを購入、それでも小さく感じる。
ja,サイズ、使用感ともに満点なのですがまれに接触不良をおこします 色々、やってみましたがコイルのもんだいかと思われます
ja,"表記に DHA含有精製魚油200mg EPA含有精製魚油200mg とありますよね。 DHA200mg,EPA200mgと表記されていない点に注目してみてください。 ここが落とし穴ではないかと個人的に感じています。 あくまで魚油200mgの中にDHAが含まれているにすぎないということかもしれません。 値段的に安いというところも引っ掛かります。 実際に買って飲んではいますが、いまいち効果はわかりません。 自分で上記の点に気づいてから、もっと効率的にEPAを取れる方法はないだろうかと 真剣に考えてみました。 青魚の缶詰、いわしやサバの味噌煮など１缶100円ほどで買えるものですが こちらは背面の栄養表示にEPA1700mg,DHA1400mgと表記されています。 こちらの製品より缶詰のほうがよっぽど栄養に富んでいますし、成分量も明記されているため安心できます。 私的には健康を考え、毎日青魚の缶詰を摂取するようにしました。 結果こちらの商品は余り気味になってしまい、缶詰を食べることができなかった日に補助として１日３粒ほど飲んでいます。 EPAは１日1000mgとると、すでに体内にたまった血栓を浄化する作用があるとの報告もあるようです。 皆さんご自身の体調にあわせ、日々取り続けるよう努力してみてはいかがでしょうか？"
de,Für meine mäuse ist das nichts die können durch das Gitter
de,Für den unschlagbaren Preis einfach toll
de,"schön warm, jedoch ist die Mütze viel zu klein für die angegebene Größe. Selbst mir als Frau passt sie nur gerade so."
de,"Die Hose fällt zu klein aus, nicht so toller Stoff. Das Oberteil ist sehr nett."
de,Schöner breiter Schal und angenehm zu tragen. Auch hält es mehrfaches Waschen in der Maschine super aus.
de,"Karten Etui sehr witzig und für die Scheine passend und nimmt Karten auf, jedoch ist die Qualität schlecht. Kanten sind abgerieben und gehen schnell kaputt (siehe Bild)"
de,Ist wohl eher ein Kinderspielzeug; Qualität ist nicht ernst zu nehmen auch wenn das Teil billig ist - keine Kaufempfehlung
de,"Ich bin schon etwas enttäuscht. Habe mich aufgrund der positiven Bewertungen zum Kauf entschieden. Die kann ich aber nicht wirklich nachvollziehen. Das Gerät ist die fast 95 Euro nicht wert, zu laut, schwache Leistung, und sieht nicht wirklich hochwertig aus. Mein Tischventilator vom Sonderpostenmarkt kann da allemal mithalten und ist leiser! Würde Kauf nicht empfehlen, gebe Gerät zurück."
fr,Je pensais qu'il y aurai t plus de maintien Une dorsale plus épaisse
fr,"C’est sympa , bien emballé, relativement. Facile à monter mais la notice est par contre mail faite je trouve . Attention je pensais que le nuage était plus grand en dimensions . En fait c’esr Assez petit"
fr,"Pour soin des yeux. Pour l'instant, c'est frais mais, sans plus... Pas raffermissant dans mon cas pour cernes. Packaging pas terrible... L'embout en métal, bof ! Je ne suis pas convaincue..."
fr,"Elle a tout d'une grande ! Offerte à une jeune fille qui n'en dit que du bien ! Elle la trouve superbe et encore mieux qu'en photo. Le réglage du bracelet est facile. A ce prix, c'est une belle surprise. A voir peut être dans le temps, mais pour l'instant parfaite !"
fr,"Impossible d’avoir internet avec ce téléphone, sauf en wifi. MMS ne fonctionne pas non plus. Je suis déçue de cet achat."
fr,"au début j'étais déconcerté, puis je me suis habitué au tournure et cet humour particulier. Au final je suivrai bien ces héros dans de nouvelles aventures.."
fr,"Cette protection n'est pas en verre trempé, c'est un film plastique semi rigide. Facile à mettre mais pas sur que cela protège longtemps."
fr,5 mois et puis plus de jus!! se charge en 10 minutes et se décharge en 5!! ou est la garantie du produit? que faire dans ce cas?
ur,وولف نے پیسے اور صورتحال کے ساتھ پیسہ جمع کیا ، لیکن اس وقت کے سب سے زیادہ عرصہ تک ان کی مرضی کے مطابق نہیں ، شفاف اور غیر منافع بخش ۔
ur,انہوں نے مجھے بتایا ہے کہ میں نے سنا ہے کہ میں نے سنا ہے
ur,موسم گرما میں ایک چشمہ جاری ہے ۔
ur,جی ہاں ، آپ کالج میں ہیں
ur,1880 ء کے عشرے میں بڑھتی ہوئی صنعت نے چین کی بیماری میں مبتلا کر لیا ۔
ur,اس بات کا خیال ہے کہ آپ کو معلوم ہے کہ آپ یہ محسوس کر رہے ہیں کہ کس طرح آپ کے مسئلہ کی وجہ سے ہے ۔
ur,آپ کو معلوم ہے کہ آپ کے دوستوں کے ساتھ اشتراک کردہ مواد کو کون دیکھ سکتا ہے ؟
ur,کبھی نہیں !
it,Primo piano di una pecora bianca con la testa nera.
it,Così ho letto l'OP e indovinate cosa ho scoperto.
it,L'uomo sta guidando una moto lungo la strada.
it,Un cane sta saltando in una piscina dopo un'anatra.
it,Un gruppo di persone sedute al tavolo di un ristorante.
it,Una donna sta ballando vicino al fuoco.
it,Un soggiorno con un tavolo da pranzo sullo sfondo.
it,Exclusive-UPDATE 2-Egypt pro-Mursi alleanza segnali di flessibilità nei colloqui
th,ดังนั้น การ วาง ของ ชิ้น สุดท้าย ของ ชิ้นส่วน สุดท้าย ของ รู ส เวล ท ์ และ ท รู แมน ดีไซน์ สำหรับ โลก ฟรี   --   ชิ้น ที่ พวกเขา ได้ พยายาม และ ล้มเหลว ที่จะ ใส่ ใน สถานที่ ใน วัน ของ พวกเขา   --   จะ เป็น ความสำเร็จ ที่ ต้อง ภูมิใจ
th,เข้ากันได้ เพื่อ แสดง ฟังก์ชัน ที่ จำเป็น ของ พวกเขา ขณะ แชร์ ฮาร์ดแวร์ หรือ สภาพแวดล้อม ซอฟต์แวร์ เดียวกัน
th,ความเจ็บปวด ของ ค รีต ยัง ไม่ จบ อย่างไรก็ตาม
th,คำแถลงการณ์ ให้ การประเมิน ศักยภาพ การเกษียณ ผู้ พิการ และ ประโยชน์ ของ ผู้รอดชีวิต
th,เอ่อ มี เกม และ ทำงาน ใน งานฝีมือ และ การทำงาน ใน โครงการ และ เครื่องดื่ม และ คุณ เอา ชื่อ อินเดีย และ ใส่ ที่ คาด ผม และ ทำ เหมือน ใน และ เอ่อ เรียนรู้ เล็กน้อย เกี่ยวกับ อินเดีย
th,ใช่ มัน เป็น วัฒนธรรม ที่ แตก ต่างกัน ทั้งหมด อืม มัน แปลก ข้างล่าง นั้น เพราะ
th,ฉัน รู้สึก กับ พวกเขา ว่า พวกเขา อิจฉา เรา มาก หรือ พวกเขา จะ ไม่ มา ที่นี่ คุณ รู้ ว่า เสี่ยง มาก ไม่ใช่ ว่า พวกเขา จะ เสี่ยงชีวิต ของ พวกเขา แน่นอน แต่ เสี่ยง มาก ที่จะ ถูก โยน กลับ ฉัน เดา ว่า ทั้งหมด นั้น เอ่อ เกิดขึ้น
th,ในขณะเดียวกัน พุ่มพวง ก็ ทรมาน ใน ความ เงียบ ในขณะที่ กองทุน ของ เขา มี เลือด ออก ใน สนาม แห้ง
